Serial No,Flashcard ID,Year,Intervention ,Highlight,Participant Type,Participants (n),Intervention Duration,Proven Benefits Statement,Study Design,Follow-up Timepoints,Citation Short,Link to Published Study,Annotated PDF (Internal Use ONLY),Journal,Study Population,Subtopic,Journal Reputation,Corresponding Author Affiliation,Geography (Country),Source Documents,Validation,Rating
7,BHASKAR_2020_01,2020,SKY,Boosts alertness and relaxation while improving brain coordination in practitioners,Regular Practitioners,40,Single SKY Session,"↑ 10-15% increased Gamma and Beta activity (cognition/alertness)|↑ 4-8% increased Delta, Theta and Alpha activity (relaxation)|Improved synchrony between left and right hemispheres",Single-Arm Pre-Post Study,,"Bhaskar et al., 2020",https://pubmed.ncbi.nlm.nih.gov/32669767/,Bhaskar-2020-High-Frequency Cerebral Activatio.pdf,International Journal of Yoga,Practitioners / Meditators,"PH: Brain, MH: Cognition",Acceptable,"SSIAR, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
8,BHATIA_2002_01,2002,SKY,Enhances deep relaxation and alertness in long-term practitioners,Long-Term Practitioners,5,Single SKY Session,Increased coherence in fronto-central beta band|↑ alpha activity in posterior regions reflecting deep relaxation|Central midline theta activity suggests activation and alertness,Observational Study,,"Bhatia, 2002",https://aolresearch.org/pdf/other/EEG_M_Bhatia.pdf,Bhatia-2002-EEG during sudarshan kriya_ A quan.pdf,"All India Institute of Medical Sciences, New Delhi - AIIMS Research Book",Practitioners / Meditators,"PH: Brain, MH: Cognition",Acceptable,"AIIMS, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
9,BHATIA_2003_01,2003,SKY,Improves mental focus in long-term SKY practitioners,SKY Practitioners,35,Long-Term SKY Practice,Significant increase in beta activity linked to mental focus,Cross-Sectional Study,,"Bhatia et al., 2003",https://www.ncbi.nlm.nih.gov/pubmed/15255618,Bhatia-2003-Electrophysiologic evaluation of S.pdf,Indian Journal of Physiology and Pharmacology,General Population,"PH: Brain, MH: Cognition",Acceptable,"AIIMS, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
10,BROWN_2005_01,2005,SKY,Enhances stress resilience and social connection through vagal activation, - , - , - ,SKY stimulates the vagus nerve and enhances vagal tone|Enhances heart rate variability (HRV)|Contributes to improved social bonding through neuroendocrine shifts,Review, - ,"Brown and Gerbarg, 2005",https://pubmed.ncbi.nlm.nih.gov/15750381/,Brown-2005-Sudarshan Kriya yogic breathing in.pdf,Journal of Integrative and Complementary Medicine,General Population,PH: Vagus Nerve,Acceptable,New York Medical College,USA,Fact-Check Master Doc,Reviewed,
12,CARTER_2013_01,2013,SKY,,Vietnam Veterans with PTSD,25,6 weeks,↓ 25% reduced PTSD symptoms (at 6 weeks)|↓ 53% reduced PTSD symptoms (at 6 months)|↓ 32% reduced depression symptoms,Randomised Controlled Trial,,"Carter et al., 2013",https://www.scitechnol.com/multicomponent-yoga-breath-program-for-vietnam-veteran-post-traumatic-stress-disorder-randomized-controlled-trial-yOPd.php?article_id=1364,J.Carter-2013-Multi-Component Yoga Breath Prog.pdf,Journal of Traumatic Stress Disorders & Treatment,At-risk Communities,"SH: At-risk Communities, MH: Stress, MH: Depression",Mixed Reputation,"START Clinic for the Mood and Anxiety Disorders, 32 Park Road, Toronto, Ontario, Canada, M4S 2N4",Canada,"Fact-Check Master Doc, TC Explorer",Reviewed,
13,KOLHE_2022_01,,SKY,,Government Officials,100,2 months,Improved sleep quality|Enhanced cognitive function and overall well-being,Qualitative Study,,"Kolhe, 2022",,Kolhe-2022-Positive Impact of Sudharshan Kriya.pdf,Indian Journal of Health Studies,Professionals,"MH: Sleep, MH: Cognition",Mixed Reputation,"*PhD Psychology, Commissioner of Income Tax",India,Fact-Check Master Doc,Reviewed,
14,CHANDANA_2015_01,2015,SKY,,Long and Short-Term Practitioners,43,Single SKY Session,84% showed increased alpha waves (relaxed/alert)|97% showed increased beta waves (awareness)|88% showed increased delta waves (restoration)|100% showed increased theta waves (profound relaxation),Single-Arm Pre-Post Study,,"Chandana et al., 2015",https://www.academia.edu/25233109/QUANTITATIVE_ANALYSIS_OF_EEG_SIGNAL_BEFORE_AND_AFTER_SUDHARSHANA_KRIYA_YOGA,Chandana-2015-Quantitative analysis of ee.pdf,International Journal Of Public Mental Health And Neurosciences,Practitioners / Meditators,"PH: Brain, MH: Cognition",Mixed Reputation,"SJB Institute of technology, Bangalore",India,Fact-Check Master Doc,Reviewed,
11,CHANDER_2022_01,2022,SKY,Improves relaxation and serving performance in women volleyball players,Women Volleyball Players,14,5 weeks,Reported increase in relaxation levels|Reported improvement in serving accuracy,Quasi-Experimental Study,,"Chander, 2022",https://www.researchgate.net/publication/370119290_EFFECT_OF_INDIGENOUS_YOGA_PRACTICES_ON_RELAXATION_AND_SERVING_ACCURACY_OF_VOLLEYBALL_PLAYERS,Chander-2022-EFFECT OF INDIGENOUS YOGA PRACTIC.pdf,Towards Excellence,Youth & Students,"SH: Youth & Students, PH: Women",Acceptable,Gujarat University,India,Fact-Check Master Doc,Reviewed,
16,KUMAR_2017_01,,SKY,,College Students,102,6 months,↓ 40% drop in cortisol in medical students during exams,Quasi-Experimental Study,,"Kumar et al., 2017",,Kumar-2017-Effect of “Sudarshan Kriya” on seru.pdf,International Journal of Applied Research,Youth & Students,"PH: Biomarkers, MH: Stress, SH: Youth & Students",Predatory,"M.L.N. Medical College, Allahabad, Uttar Pradesh, India",India,Fact-Check Master Doc,Reviewed,
12,CHANDRA_2016_01,2016,SKY,Improves memory and cognitive performance in healthy adults,Healthy Adults,25,90 days,"Higher memory test scores|Improved working memory during cognitive tasks|More efficient use of brain rhythms (gamma, alpha, theta)",Non-Randomised Controlled Trial,,"Chandra et al., 2016","https://journals.lww.com/ijoy/fulltext/2016/09010/effect_of_sudarshan_kriya__meditation__on_gamma,.12.aspx",Chandra-2016-Effect of Sudarshan Kriya (medita.pdf,International Journal of Yoga,General Population,"PH: Brain, MH: Cognition",Acceptable,"Institute of Nuclear Medicine and Science, DRDO, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
13,CHANDRA_2016_01,2016,SKY,Improves multitasking speed and accuracy in healthy adults,Healthy Adults,25,90 days,↑ 11% faster response times while multitasking|↑ 6% improvement in task accuracy|Improved sympathovagal balance|Increased alpha brain activity,Randomised Controlled Trial,,"Chandra et al., 2016",https://link.springer.com/article/10.1007/s40708-016-0055-1,Chandra-2016-Workload regulation by Sudarshan.pdf,Brain Informatics,General Population,"PH: Vagus Nerve, MH: Cognition",Acceptable,"Defence Research and Development Organisation (DRDO), New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
19,MUNGAL_2013_01,,SKY,,Practitioners,60,,healthier lipid profiles and reduced stress levels following regular SKY practice,Observational Study,6 months,"Mungal and Bondade, 2013",,Mungal-2013-Effect of Sudarshan Kriya Yoga on.pdf,International Journal of Current Research and Review,General Population,"PH: Biomarkers, MH: Stress",Mixed Reputation,"Dr. Shankarrao Chavan Government Medical College,
Nanded, Maharashtra, India",India,Fact-Check Master Doc,Reviewed,
14,CHANDRA_2016_02,2016,SKY,"Improves memory, focus, and mental performance in healthy adults",Healthy Adults,25,90 days,"↑ Memory test scores|↑ improved working memory during cognitive tasks|Enhanced focus, brain efficiency and mental performance",Randomised Controlled Trial,,"Chandra et al., 2016",https://link.springer.com/article/10.1007/s40708-016-0055-1,Chandra-2016-Workload regulation by Sudarshan.pdf,Brain Informatics,General Population,"PH: Brain, PH: Vagus Nerve, MH: Cognition",Acceptable,"Institute of Nuclear Medicine and Science, DRDO, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
15,CHANDRA_2017_01,2017,SKY,Improves reaction speed and focus in healthy adults,Healthy Adults,20,30 days,↓ 9% decreased reaction time|↑ 13% total reactions|↓ 37% delayed reactions|↓ 48% omitted responses|Improved alpha activity (relaxation/focus),Single-Arm Pre-Post Study,,"Chandra et al., 2017",https://journals.lww.com/ijoy/fulltext/2017/10020/Mental_Stress__Neurophysiology_and_Its_Regulation.3.aspx,Chandra-2017-Mental stress_ Neurophysiology an.pdf,International Journal of Yoga,General Population,"PH: Brain, MH: Stress, MH: Cognition",Acceptable,"Institute of Nuclear Medicine and Science, DRDO, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
22,NARNOLIA_2014_01,,SKY,,Hypertensive Patients,100,3 months,↓ 90% reduced anxiety symptoms|↓ 5% reduced systolic BP|↓ 6% reduced diastolic BP|↓ 13% reduced cholesterol|↓ 7% reduced BMI,Randomised Controlled Trial,,"Narnolia et al., 2014",,Narnolia-2014-Effect of Sudarshan Kriya Yoga o.pdf,Scholars Journal of Applied Medical Sciences,Patients,"PH: Heart, PH: Biomarkers, MH: Anxiety",Predatory,"Sardar Patel Medical College and Hospitals, Bikaner, Rajasthan-334003, India",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
16,CHAUDHARI_2020_01,2020,SKY,"Reduces daytime drowsiness in young adults, especially in those with obesity",Young Adults,105,8 weeks,↓ 31% decreased daytime drowsiness|Significant improvements observed in obese participants,Randomised Controlled Trial,,"Chaudhari et al., 2020",https://www.degruyterbrill.com/document/doi/10.1515/jcim-2020-0172/html,Chaudhari-2020-Effect of Sudarshan Kriya Yoga.pdf,Journal of Complementary and Integrative Medicine,General Population,MH: Sleep,Acceptable,"Surana Sethia Hospital, Mumbai",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
24,CHAUHAN_2015a_01,2015,SKY,,School Students,40,6 days,"↑ 63% reported increased confidence|↑ 58% reported greater peace of mind|Improved patience, leadership, and teamwork",Single-Arm Observational Study,,"Chauhan, 2015",https://ijip.in/articles/effectiveness-of-the-art-of-living-yes-programme-on-school-students/,Sweta Sharadkum-2015-School-Students.pdf,International Journal of Indian Psychology,Youth & Students,"SH: Youth & Students, MH: Happiness",Mixed Reputation,"Sardar Patel University, Vallabh Vidyanagar",India,Fact-Check Master Doc,Reviewed,
25,RANI_2019_01,,SKY,,Alcohol-Dependent Individuals,60,7 days,66% showed mild depression post-intervention (down from moderate/severe),Quasi-Experimental Study,,"Rani, 2019",,Rani-2019-Effect of Yoga on Depression Among A.pdf,"International Journal of Research in Engineering, Science and Management",At-risk Communities,"MH: Depression, SH: At-risk Communities",Mixed Reputation,"Department of Nursing, Shri Venkateshwara University, Amroha, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
26,CHAUHAN_2015b_01,2015,SKY,,College Students,40,6 days,"Reduced stress, anxiety, and emotional instability|Increased peace of mind, leadership, and teamwork",Single-Arm Observational Study,,"Chauhan, 2015",https://ijip.in/wp-content/uploads/2020/05/B00367V2I42015.pdf,Sweta Sharadkum-2015-College-Students.pdf,International Journal of Indian Psychology,Youth & Students,"SH: Youth & Students, MH: Stress",Mixed Reputation,"Sardar Patel University, Vallabh Vidyanagar",India,Fact-Check Master Doc,Reviewed,
17,CHHABRA_2024_01,2024,SKY,Improves breathing efficiency and heart–breath coordination in long-term practitioners,Long-Term Practitioners,22,Single SKY Session,Increased vagal tone|Increased cardiovascular-respiratory synchronisation|Increased parasympathetic activity|Increased respiratory efficiency,Single-Arm Pre-Post Study,,"Chhabra et al., 2024",https://pubmed.ncbi.nlm.nih.gov/38244476/,Chhabra-2024-Long Sudarshan Kriya Yoga enhance.pdf,Journal of Ayurveda and Integrative Medicine,Practitioners / Meditators,"PH: Vagus Nerve, PH: Breath / Lungs",Acceptable,"SSIAR, Bengaluru",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
18,CHHAJER_2024_01,2024,SKY,Reduces stress and anxiety in managers within one week,Managers,64,1 week,↓ 28% reduced stress|↓ 29% reduced anxiety,Randomised Controlled Trial,,"Chhajer and Dagar, 2024",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1327119/full,Chhajer-2024-Examining the impact of a restora.pdf,Frontiers in Psychology,Professionals,"MH: Stress, MH: Anxiety",Acceptable,IIM Indore,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
29,SHAH_2023_01,,SKY,,College Students,30,4 weeks,↓ 37% reduced anxiety symptoms|↓ 27% reduced stress symptoms|↓ 33% reduced neck pain,Randomised Controlled Trial,,"Shah and Patil, 2023",,R. Shah-2023-EFFECT OF THE 5 PRANAYAMAS VERSUS.pdf,International Journal of Scientific Research,Youth & Students,"MH: Anxiety, MH: Stress",Mixed Reputation,"Patil College of Physiotherapy, Pimpri, Pune",India,"Fact-Check Master Doc, FC-Worksheet",Reviewed,
19,DANIEL_2022_01,2022,SKY,Improves accuracy and reduces errors under stress in students,Undergraduate Students,18,1 month,↑ 72% more correct responses under stress|↓ 67% fewer errors|↓ 54% fewer omitted responses,Randomised Controlled Trial,,"Daniel et al., 2022",https://pubmed.ncbi.nlm.nih.gov/35444365/,Kanchibhotla-2022-Alleviating Work Exhaustion.pdf,International Journal of Yoga,Youth & Students,"MH: Cognition, MH: Stress, SH: Youth & Students",Acceptable,"Institute of Nuclear Medicine and Allied Sciences, DRDO, New Delhi, India.",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
20,DAS_2002_01,2002,SKY,Increases immune cell levels in cancer patients and healthy practitioners,Cancer Patients and Healthy Adults,97,,↑ 1.6x higher NK cell levels compared to non-practising cancer patients|↑ 1.8x higher NK cell levels compared to healthy non-practitioners,Cross-Sectional Study,,"Das and Kochupillai, 2002",https://aolresearch.org/pdf/other/Flowcyt_Das.pdf,Das-2002-Flowcytometric Study of T-cell Subset.pdf,AIIMS Research Book,Practitioners / Meditators,PH: Cancer,Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet.",Reviewed,
21,DASAPPA_2016_01,2016,SKY,Lowers blood sugar and improves diabetes control in urban T2D patients,T2D Patients (Urban Slums),109,40 days,↓ 13% reduction in HbA1c|↓ 40% drop in random blood sugar levels|Improved adherence to dietary changes and self-care habits,Non-Randomised Controlled Trial,,"Dasappa et al., 2016",https://journals.lww.com/jfmpc/fulltext/2016/05030/Effectiveness_of_yoga_program_in_the_management_of.21.aspx,Dasappa-2016-Effectiveness of yoga program in.pdf,Journal of Family Medicine and Primary Care,Patients,PH: Diabetes,Acceptable,"Art of Living Foundation, Bengaluru, Karnataka, India",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
22,DESCILO_2010_01,2010,SKY,Reduces depression and PTSD in tsunami survivors with lasting effects,Tsunami Survivors,183,6 weeks,↓ 87% reduced depression|↓ 64% reduced PTSD symptoms|Benefits sustained up to 24-week follow-up,Non-Randomised Controlled Trial,24 weeks,"Descilo et al., 2010",https://pubmed.ncbi.nlm.nih.gov/19694633/,Descilo-2010-Effects of a yoga breath interven.pdf,Acta Psychiatrica Scandinavica,At-risk Communities,"MH: Depression, SH: At-risk Communities",Acceptable,The Trauma Resolution Center of Miami,USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
23,DEUCHAR_2019_01,2019,SKY,Reduces substance use and improves emotional control in former gang members,Former Gang Members,17,,Reduced cannabis use and alcohol consumption|Improved emotional control and reduced aggression|Improved sleep and calmness,Qualitative Study,,"Deuchar, 2019",https://journals.sagepub.com/doi/10.1177/1473225419889195,"Deuchar-2019-Gang Disengagement, Desistance an.pdf",Youth Justice,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"Division of Social Sciences, School of Education & Social Sciences, University of the West of Scotland, Paisley PA1 2BE, UK.",UK,Fact-Check Master Doc,Reviewed,
35,DHARA_2015_01,2015,SKY,,Women (aged 56–68 yrs),30,15 days,↓ 6% reduced systolic blood pressure|↓ 5% reduced diastolic blood pressure|↓ 13% reduced mental stress,Single-Arm Pre-Post Study,,"Dhara and Mandal, 2015",https://www.kheljournal.com/archives/2015/vol1issue6/PartC/1-6-8.pdf,Dhara-2015-Short term effect of Sudarsan Kriya.pdf,"International Journal of Physical Education, Sports and Health",Women,"SH: Women, PH: Heart",Mixed Reputation,"Visva-Bharati University, Santiniketan, West Bengal, India.",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
36,SUREKA_2015_01,,SKY,,Male Patients with Psychoactive Substance Dependence,111,6 weeks,62% improvement in anxiety symptoms|26% increase in Well-Being,Randomised Controlled Trial,,"Sureka et al., 2015",,Sureka-2015-Sudarshan kriya for male patients.pdf,ASEAN Journal of Psychiatry,At-risk Communities,"MH: Anxiety, SH: At-risk Communities, MH: Happiness",Mixed Reputation,"Central Jail Hospital, Tihar, New Delhi",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
24,DHAWAN_2015_01,2015,SKY,Achieves zero relapse and improves quality of life in opioid-dependent users,Opioid-Dependent Users,84,6 months,100% of participants had drug-free urine tests at 6 months (zero relapse)|Improved physical and psychological quality of life,Randomised Controlled Trial,,"Dhawan et al., 2015",https://pubmed.ncbi.nlm.nih.gov/26170596/,Dhawan-2015-Effectiveness of yogic breathing i.pdf,International Journal of Yoga,At-risk Communities,"SH: At-risk Communities, PH: Immunity",Acceptable,"All India Institute of Medical Sciences (AIIMS), New Delhi, India.",India,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
38,VAN DER MERWE_2011_01,,SKY,,School Principals,6,6 weeks,↓ 42% drop in emotional exhaustion|↓ 36% drop in depersonalisation|↑ 31% boost in sense of personal accomplishment,Single-Arm Pre-Post Study,,"Van der Merwe and Parsotam, 2011",,"Merwe-2011-Breathe in, breathe out _ alleviati.pdf",Journal for New Generation Sciences,Professionals,"MH: Stress, MH: Happiness",Mixed Reputation,South Africa,South Africa,"Fact-Check Master Doc, TC Explorer",Reviewed,
25,DORIA_2015_01,2015,SKY,Reduces anxiety and depression in patients with generalized anxiety disorder,Patients with Generalized Anxiety Disorder (GAD),69,6 months,↓35% anxiety (on medication)|↓51% anxiety (off medication)|↓36% depression (on/off medication),Quasi-Experimental Study,,"Doria et al., 2015",https://pubmed.ncbi.nlm.nih.gov/26142611/,Doria-2015-Anti-anxiety efficacy of Sudarshan.pdf,Journal of Affective Disorders,Patients,MH: Anxiety,Acceptable,"Department of Neuroscience, “Fatebenefratelli e Oftalmico” Hospital, Milano, Italy",Italy,"Fact-Check Master Doc, TC Explorer",Reviewed,
26,GEETHA_2014_01,2014,SKY,Improves antioxidant defence and reduces oxidative stress in menopausal women,Menopausal Women,190,30 days,↑ 212% increased superoxide dismutase (SOD)|↑ 112% improved plasma glutathione peroxidase (GPx)|↓ 66% reduced malondialdehyde (MDA),Non-Randomised Controlled Trial,,"Geetha et al., 2014",https://www.alliedacademies.org/articles/quality-of-life-after-menopause-effects-of-hormone-replacement-therapyvitamin-e-and-sudarhana-kriya-yoga-practice-a-comparative-study.pdf,Geetha-2014-Quality of life after menopause_ E.pdf,Biomedical Research,General Population,"PH: Biomarkers, SH: Women",Acceptable,"Dhanalakshmi Srinivasan Medical College and Hospital, Perambalur, Tamil-
nadu, India",India,"Fact-Check Master Doc, FC-Worksheet.",Reviewed,
27,GERBARG_2005_01,2005,SKY,"Improves sleep, energy, and trauma recovery in disaster survivors",Hurricane Katrina Survivors,,,Improved sleep and energy levels|Reduced feelings of tension and aggression|Fewer flashbacks and trauma symptoms,Qualitative Study,,"Gerbarg and Brown, 2005",https://www.researchgate.net/publication/288024346_Yoga_A_breath_of_relief_for_Hurricane_Katrina_refugees,Gerbarg-2005-Yoga_ A breath of relief for Hurr.pdf,Current Psychiatry Online,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"New York Medical College, Valhalla, NY",USA,Fact-Check Master Doc,Reviewed,
28,GHAHREMANI_2013_01,2013,SKY,Improves self-control and planning in high school students,High School Students,445,4 weeks,Reduced impulsive behaviour in daily life|Improved planning and reduced acting without thinking,Two-Arm Pre-Post Study,,"Ghahremani et al., 2013",https://pubmed.ncbi.nlm.nih.gov/23601502/,Ghahremani-2013-Effects of the Youth Empowerme.pdf,Journal of Adolescent Health,Youth & Students,"SH: Youth & Students, MH: Cognition",Acceptable,"University of California, Los Angeles (UCLA)",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
29,GHOLAM_2021_01,2021,SKY,Supports cognitive function and brain processing efficiency with age,Healthy Adults (40–65 yrs),60,Long-Term SKY Practice,2.3x higher P300 amplitudes in long-term practitioners|↓ 7.7% shorter P300 latency indicating faster cognitive processing|Supports preservation of cognitive function with age,Cross-Sectional Study,,"Gholam et al., 2021",https://www.ncbi.nlm.nih.gov/pubmed/33944527,Gholam-2021-Effect of Sudarsankriya yoga pract.pdf,International Tinnitus Journal,General Population,"PH: Brain, MH: Cognition",Acceptable,"Kasturba Medical College, MAHE, Mangalore, Karnataka,",India,"Fact-Check Master Doc, Year in Review",Reviewed,
30,GOLDSTEIN_2016_01,2016,SKY,Improves heart recovery and stress regulation in young adults,Young Adults,11,4 weeks,↑ 48% increased heart rate recovery|Increased vagal tone|Increased autonomic regulation after stress,Single-Arm Pre-Post Study,,"Goldstein et al., 2016",https://journals.lww.com/ijoy/fulltext/2016/09010/Improvements_in_well_being_and_vagal_tone.4.aspx,Goldstein-2016-Improvements in well-being and.pdf,International Journal of Yoga,Youth & Students,"PH: Heart, PH: Vagus Nerve, SH: Youth & Students",Acceptable,University of Arizona,USA,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,⭐⭐⭐⭐⭐
